区域,小区名称,户型,面积,价格(万),单价(元/平米),地址,朝向,装修,楼层,年代
高新,世纪花园（高新狮山）,3室 2厅,108.0平,245万,22685元/平,玉山路与汾湖路交汇处,暂无数据,中装,中区/6层,暂无数据
高新,格林花园（高新狮山）,2室 2厅,94.5平,245万,25925元/平,塔园路203号,南北,精装,中区/5层,暂无数据
高新,君地风华（高新狮山）,2室 2厅,90.8平,228万,25110元/平,竹园路与汾湖路交界处,南,精装,高区/18层,暂无数据
高新,新港天之运（高新枫桥）,4室 2厅,142.3平,253万,17779元/平,浩福路66号,暂无数据,毛坯,高区/18层,暂无数据
高新,今创启园（高新狮山）,2室 2厅,84.0平,197万,23452元/平,竹园路205号,南北,精装,低区/19层,暂无数据
高新,新升新苑（高新狮山）,2室 2厅,73.48平,145万,19733元/平,玉山路与珠江路交界处,南北,精装,高区/6层,暂无数据
高新,世纪花园（高新狮山）,2室 2厅,86.83平,215万,24761元/平,玉山路与汾湖路交汇处,暂无数据,精装,低区/6层,暂无数据
高新,名馨花园（高新狮山）,2室 2厅,94.5平,245万,25925元/平,玉山路77号,南北,精装,低区/24层,暂无数据
高新,汇豪·狮山路58号（高新狮山）,1室 2厅,85.6平,212万,24766元/平,狮山路58号,暂无数据,精装,高区/16层,暂无数据
高新,今日家园（高新狮山）,4室 2厅,158.0平,388万,24556元/平,何山路28号,南北,精装,中区/11层,暂无数据
高新,狮山花苑（高新狮山）,3室 3厅,131.29平,490万,37321元/平,狮山路72号,暂无数据,精装,高区/9层,暂无数据
高新,张步新村（高新枫桥）,2室 2厅,63.57平,128万,20135元/平,滨河路与枫津大道交叉口,南,毛坯,中区/5层,暂无数据
高新,格林花园（高新狮山）,3室 2厅,144.5平,325万,22491元/平,塔园路203号,南,精装,低区/14层,暂无数据
高新,恒达清水园（高新狮山）,2室 2厅,98.25平,256万,26055元/平,塔园路209号,暂无数据,精装,高区/18层,暂无数据
高新,山水华庭（高新狮山）,3室 2厅,137.0平,240万,17518元/平,长江中路99号,南北,精装,高区/11层,暂无数据
高新,御花园玫瑰园（高新狮山）,2室 2厅,93.33平,250万,26786元/平,长江路318号,南,精装,中区/6层,暂无数据
高新,格林花园（高新狮山）,2室 2厅,96.0平,300万,31250元/平,塔园路203号,南北,精装,低区/6层,暂无数据
高新,时代花园（高新狮山）,5室 2厅,182.7平,290万,15873元/平,何山路88号,南北,中装,高区/5层,暂无数据
高新,山水华庭（高新狮山）,3室 2厅,121.54平,230万,18923元/平,长江中路99号,南北,毛坯,高区/18层,暂无数据
高新,富康新村（高新枫桥）,2室 1厅,64.46平,110万,17064元/平,华山路与长江路交汇处（枫桥人民医院后面）,南北,简装,低区/6层,暂无数据
高新,金科王府三期（高新枫桥）,3室 2厅,134.64平,429万,31862元/平,枫津大街88号,南北,毛坯,高区/11层,暂无数据
高新,龙湖狮山天街生活广场一期（高新狮山）,3室 2厅,110.0平,363万,33045元/平,狮山路和塔园路交叉口（香格里拉对面）,南北,精装,中区/40层,2016年建
高新,金科王府二期（高新枫桥）,3室 3厅,336.08平,588万,17495元/平,滨河路与枫津大道交叉口寒山寺附近,(进门)南北,毛坯,地上3层,暂无数据
高新,世纪花园（高新狮山）,3室 2厅,116.5平,229万,19656元/平,玉山路与汾湖路交汇处,南北,精装,低区/6层,暂无数据
高新,今日家园（高新狮山）,4室 2厅,155.69平,352万,22609元/平,何山路28号,南,精装,中区/10层,暂无数据
高新,金枫苑（高新狮山）,3室 2厅,137.77平,301万,21848元/平,滨河路1750号（何山路与滨河路交叉口）,南北,精装,中区/11层,暂无数据
高新,御花园玫瑰园（高新狮山）,5室 3厅,143.7平,390万,27139元/平,长江路318号,南北,豪装,高区/6层,暂无数据
高新,智园别墅（高新狮山）,4室 3厅,370.0平,1000万,27027元/平,滨河路1888号,(进门)北,豪装,地上1层,暂无数据
高新,名馨花园（高新狮山）,3室 2厅,128.0平,337万,26328元/平,玉山路77号,南北,精装,中区/10层,暂无数据
高新,今日家园（高新狮山）,3室 2厅,126.0平,290万,23015元/平,何山路28号,南北,精装,高区/10层,暂无数据
高新,新升新苑（高新狮山）,2室 2厅,72.0平,149万,20694元/平,玉山路与珠江路交界处,南北,中装,高区/6层,暂无数据
高新,秀水苑（高新狮山）,4室 2厅,132.0平,350万,26515元/平,玉山路145号,南,精装,高区/9层,暂无数据
高新,嘉业阳光假日四期（高新狮山）,3室 2厅,103.08平,243万,23573元/平,珠江路121号,南,精装,高区/6层,暂无数据
高新,秀水苑（高新狮山）,4室 2厅,149.1平,409万,27431元/平,玉山路145号,南北,精装,高区/9层,暂无数据
高新,金科天籁城（高新浒墅关经济技术开发区）,3室 2厅,89.0平,148万,16629元/平,太湖大道南、建林路绿化地东（距新鹿花苑500米）,南北,精装,低区/18层,暂无数据
高新,新港天之运（高新枫桥）,4室 2厅,147.0平,281万,19115元/平,浩福路66号,南北,毛坯,高区/28层,暂无数据
高新,富康新村（高新枫桥）,3室 2厅,85.63平,153万,17867元/平,华山路与长江路交汇处（枫桥人民医院后面）,暂无数据,中装,中区/6层,暂无数据
高新,康佳花园三区（高新枫桥）,2室 2厅,62.66平,118万,18831元/平,华山路与长江路交界,暂无数据,精装,中区/5层,暂无数据
高新,云锦苑二区（高新浒墅关经济技术开发区）,3室 2厅,90.0平,148万,16444元/平,鸿禧路20号,南北,精装,低区/17层,暂无数据
高新,金色家园（高新狮山）,3室 2厅,92.0平,170万,18478元/平,珠江路和玉山路交叉口,南,简装,中区/5层,暂无数据
高新,旭辉御府（高新枫桥）,4室 2厅,133.43平,280万,20984元/平,景山路118号,南北,毛坯,低区/30层,暂无数据
高新,沁怡家园（高新狮山）,2室 2厅,106.69平,312万,29243元/平,玉山路18号,南北,毛坯,高区/18层,暂无数据
高新,金色家园（高新狮山）,5室 2厅,151.21平,225万,14879元/平,珠江路和玉山路交叉口,南北,精装,高区/5层,暂无数据
高新,鑫苑国际城市花园（高新枫桥）,3室 2厅,101.0平,275万,27227元/平,华山路8号,南北,精装,高区/13层,暂无数据
高新,山水映象（高新横塘）,4室 3厅,89.83平,189万,21039元/平,科源路88号,南北,精装,高区/6层,暂无数据
高新,狮山新苑（高新狮山）,2室 1厅,72.92平,230万,31541元/平,金山路27号,南,简装,高区/6层,暂无数据
高新,名馨花园（高新狮山）,2室 2厅,102.0平,276万,27058元/平,玉山路77号,南北,精装,中区/18层,暂无数据
高新,天都花园（高新狮山）,2室 2厅,99.8平,286万,28657元/平,竹园路25号,南北,精装,高区/30层,暂无数据
高新,天都花园（高新狮山）,2室 2厅,86.72平,223万,25714元/平,竹园路25号,南北,精装,低区/30层,暂无数据
高新,格林花园（高新狮山）,2室 2厅,65.23平,148万,22688元/平,塔园路203号,暂无数据,精装,高区/7层,暂无数据
高新,新升新苑（高新狮山）,2室 2厅,76.07平,155万,20375元/平,玉山路与珠江路交界处,暂无数据,精装,高区/6层,暂无数据
高新,万枫家园（高新狮山）,2室 1厅,62.4平,123万,19711元/平,竹园路与珠江路交汇处,南北,中装,低区/6层,暂无数据
高新,天都花园（高新狮山）,3室 2厅,119.0平,330万,27731元/平,竹园路25号,南北,精装,低区/33层,暂无数据
高新,金河国际华庭（高新狮山）,2室 2厅,98.1平,312万,31804元/平,滨河路1088号,暂无数据,毛坯,中区/17层,暂无数据
高新,金河国际华庭（高新狮山）,2室 2厅,96.7平,304万,31437元/平,滨河路1088号,暂无数据,毛坯,中区/17层,暂无数据
高新,天都花园（高新狮山）,2室 2厅,86.0平,230万,26744元/平,竹园路25号,南,精装,高区/33层,暂无数据
高新,名馨花园（高新狮山）,2室 2厅,107.87平,300万,27811元/平,玉山路77号,南北,精装,中区/9层,暂无数据
高新,恒达清水园（高新狮山）,3室 2厅,108.0平,255万,23611元/平,塔园路209号,暂无数据,精装,中区/18层,暂无数据
高新,新升新苑（高新狮山）,3室 2厅,101.0平,218万,21584元/平,玉山路与珠江路交界处,南北,精装,低区/6层,暂无数据
高新,馨泰花苑（高新狮山）,2室 2厅,86.8平,194万,22350元/平,玉山路77号,南北,精装,中区/6层,暂无数据
高新,世纪花园（高新狮山）,2室 2厅,87.0平,204万,23448元/平,玉山路与汾湖路交汇处,南,精装,低区/6层,暂无数据
高新,龙湖狮山天街生活广场一期（高新狮山）,3室 2厅,105.82平,312万,29484元/平,狮山路和塔园路交叉口（香格里拉对面）,南北,毛坯,低区/40层,2016年建
高新,恒达清水园（高新狮山）,3室 2厅,123.15平,298万,24198元/平,塔园路209号,南北,精装,中区/6层,暂无数据
高新,金枫苑（高新狮山）,3室 2厅,145.83平,327万,22423元/平,滨河路1750号（何山路与滨河路交叉口）,南北,精装,低区/11层,暂无数据
高新,嘉业阳光假日一二期（高新狮山）,1室 0厅,52.01平,79万,15189元/平,珠江路121号,南,中装,中区/22层,暂无数据
高新,滨河花苑二期（高新狮山）,4室 2厅,170.76平,345万,20203元/平,邓蔚路与滨河路交叉口,南北,精装,高区/6层,暂无数据
高新,名馨花园（高新狮山）,2室 2厅,109.4平,240万,21937元/平,玉山路77号,南北,精装,中区/10层,暂无数据
高新,恒达清水园（高新狮山）,4室 3厅,199.0平,390万,19597元/平,塔园路209号,南北,毛坯,中区/11层,暂无数据
高新,新升新苑（高新狮山）,2室 1厅,73.9平,162万,21921元/平,玉山路与珠江路交界处,南北,精装,中区/6层,暂无数据
高新,格林花园（高新狮山）,2室 2厅,92.53平,240万,25937元/平,塔园路203号,南北,精装,低区/5层,暂无数据
高新,锦宁阁（高新狮山）,4室 3厅,193.15平,530万,27439元/平,金山路28号,南,精装,高区/10层,暂无数据
高新,嘉业阳光假日五期（高新狮山）,2室 2厅,75.63平,155万,20494元/平,珠江路121号（玉山路与珠江路交界处）,南北,中装,低区/11层,暂无数据
高新,新升新苑（高新狮山）,3室 2厅,99.27平,175万,17628元/平,玉山路与珠江路交界处,南北,简装,高区/6层,暂无数据
高新,嘉业阳光假日一二期（高新狮山）,2室 2厅,105.0平,215万,20476元/平,珠江路121号,南,精装,低区/7层,暂无数据
高新,狮山峰尚（高新狮山）,2室 2厅,98.5平,276万,28020元/平,狮山路75号,暂无数据,精装,中区/30层,暂无数据
高新,新升新苑（高新狮山）,3室 2厅,115.0平,211万,18347元/平,玉山路与珠江路交界处,南北,精装,高区/6层,暂无数据
高新,新升新苑（高新狮山）,3室 2厅,95.34平,199万,20872元/平,玉山路与珠江路交界处,南北,精装,低区/6层,暂无数据
高新,恒达清水园（高新狮山）,4室 2厅,192.0平,380万,19791元/平,塔园路209号,南北,毛坯,中区/9层,暂无数据
高新,鑫苑国际城市花园（高新枫桥）,3室 2厅,86.97平,203万,23341元/平,华山路8号,南,精装,中区/27层,暂无数据
高新,云锦苑二区（高新浒墅关经济技术开发区）,2室 2厅,90.0平,143万,15888元/平,鸿禧路20号,南北,中装,高区/17层,暂无数据
高新,新升新苑（高新狮山）,2室 2厅,82.04平,172万,20965元/平,玉山路与珠江路交界处,南北,精装,低区/6层,暂无数据
高新,嘉业阳光假日四期（高新狮山）,3室 2厅,113.53平,265万,23341元/平,珠江路121号,暂无数据,精装,高区/6层,暂无数据
高新,滨河花苑二期（高新狮山）,4室 2厅,122.0平,250万,20491元/平,邓蔚路与滨河路交叉口,南北,中装,高区/6层,暂无数据
高新,名馨花园（高新狮山）,3室 2厅,150.57平,347万,23045元/平,玉山路77号,南北,精装,低区/11层,暂无数据
高新,星韵花园（高新狮山）,2室 1厅,69.05平,160万,23171元/平,横山路35号,南,精装,高区/18层,暂无数据
高新,荣尚花苑（高新通安）,2室 2厅,88.94平,105万,11805元/平,西唐路69号,南,毛坯,低区/11层,暂无数据
高新,汇豪·狮山路58号（高新狮山）,1室 1厅,47.3平,123万,26004元/平,狮山路58号,暂无数据,精装,中区/16层,暂无数据
高新,天都花园（高新狮山）,2室 2厅,85.92平,235万,27351元/平,竹园路25号,南,精装,低区/33层,暂无数据
高新,运盛美之苑（高新狮山）,2室 1厅,75.28平,266万,35334元/平,塔园路220号,南,精装,低区/12层,暂无数据
高新,新升新苑（高新狮山）,3室 1厅,85.55平,181万,21157元/平,玉山路与珠江路交界处,南北,精装,中区/5层,暂无数据
高新,嘉业阳光假日五期（高新狮山）,2室 2厅,89.7平,207万,23076元/平,珠江路121号（玉山路与珠江路交界处）,南,精装,中区/14层,暂无数据
高新,嘉业阳光假日一二期（高新狮山）,2室 2厅,109.94平,199万,18100元/平,珠江路121号,南,简装,高区/16层,暂无数据
高新,枫津新村（高新狮山）,2室 1厅,63.0平,121万,19206元/平,何山路215号,南,简装,高区/5层,暂无数据
高新,金色家园（高新狮山）,3室 2厅,110.8平,170万,15342元/平,珠江路和玉山路交叉口,南北,简装,高区/5层,暂无数据
高新,嘉业阳光假日四期（高新狮山）,4室 3厅,197.37平,330万,16719元/平,珠江路121号,南北,毛坯,高区/6层,暂无数据
高新,天都花园（高新狮山）,3室 2厅,131.0平,399万,30458元/平,竹园路25号,暂无数据,毛坯,高区/9层,暂无数据
高新,狮山新苑（高新狮山）,3室 2厅,118.27平,291万,24604元/平,金山路27号,南北,简装,高区/6层,暂无数据
高新,鑫苑国际城市花园（高新枫桥）,3室 2厅,91.47平,225万,24598元/平,华山路8号,南北,毛坯,中区/23层,暂无数据
高新,何山路121号（高新狮山）,3室 1厅,96.8平,155万,16012元/平,何山路121号,南北,精装,高区/5层,暂无数据
高新,滨河花苑二期（高新狮山）,2室 2厅,75.6平,192万,25396元/平,邓蔚路与滨河路交叉口,南北,精装,高区/6层,暂无数据
高新,馨泰花苑（高新狮山）,2室 2厅,87.54平,189万,21590元/平,玉山路77号,南北,精装,高区/6层,暂无数据
高新,灏景天下（高新狮山）,3室 2厅,155.65平,342万,21972元/平,汾湖路199号,南北,精装,低区/18层,暂无数据
高新,何山花园（高新狮山）,3室 2厅,87.89平,210万,23893元/平,邓尉路288号,南北,精装,中区/6层,暂无数据
高新,新升新苑（高新狮山）,4室 2厅,83.91平,185万,22047元/平,玉山路与珠江路交界处,南北,精装,高区/6层,暂无数据
高新,新升新苑（高新狮山）,3室 2厅,122.99平,240万,19513元/平,玉山路与珠江路交界处,南北,精装,高区/6层,暂无数据
高新,今日家园（高新狮山）,2室 2厅,85.0平,218万,25647元/平,何山路28号,南北,中装,高区/6层,暂无数据
高新,馨泰花苑（高新狮山）,3室 2厅,102.98平,189万,18353元/平,玉山路77号,暂无数据,精装,高区/6层,暂无数据
高新,金河国际华庭（高新狮山）,3室 2厅,125.01平,362万,28957元/平,滨河路1088号,南北,精装,中区/23层,暂无数据
高新,名馨花园（高新狮山）,1室 2厅,74.69平,195万,26107元/平,玉山路77号,南,精装,中区/11层,暂无数据
高新,白领生活馆（高新狮山）,3室 2厅,100.4平,245万,24402元/平,竹园路189号,南,中装,高区/11层,暂无数据
高新,时代花园（高新狮山）,3室 2厅,125.0平,276万,22080元/平,何山路88号,南北,中装,中区/5层,暂无数据
高新,新创竹园（高新狮山）,3室 2厅,124.0平,260万,20967元/平,竹园路197号,南北,中装,低区/6层,暂无数据
高新,时代花园（高新狮山）,3室 2厅,124.36平,281万,22595元/平,何山路88号,南北,中装,中区/5层,暂无数据
高新,嘉业阳光假日三期（高新狮山）,4室 2厅,139.96平,308万,22006元/平,珠江路121号,南,精装,低区/12层,暂无数据
高新,时代花园（高新狮山）,2室 2厅,90.0平,235万,26111元/平,何山路88号,南北,精装,中区/11层,暂无数据
高新,嘉业阳光假日五期（高新狮山）,3室 2厅,103.0平,220万,21359元/平,珠江路121号（玉山路与珠江路交界处）,南北,精装,低区/11层,暂无数据
高新,金科王府三期（高新枫桥）,3室 2厅,136.0平,380万,27941元/平,枫津大街88号,南北,毛坯,中区/11层,暂无数据
高新,理想家园（高新浒墅关经济技术开发区）,1室 1厅,57.98平,96万,16557元/平,长江路819号,南北,精装,低区/18层,暂无数据
高新,沁怡家园（高新狮山）,2室 2厅,76.57平,230万,30037元/平,玉山路18号,南北,精装,中区/14层,暂无数据
高新,富康新村（高新枫桥）,2室 2厅,66.55平,115万,17280元/平,华山路与长江路交汇处（枫桥人民医院后面）,南北,精装,中区/6层,暂无数据
高新,康佳花园一区（高新枫桥）,4室 2厅,64.0平,130万,20312元/平,长江路华山路交界口,南北,中装,高区/5层,暂无数据
高新,山水华庭（高新狮山）,2室 2厅,87.54平,165万,18848元/平,长江中路99号,南北,毛坯,高区/18层,暂无数据
高新,沁怡家园（高新狮山）,2室 2厅,101.18平,300万,29650元/平,玉山路18号,南,精装,高区/11层,暂无数据
高新,鑫苑国际城市花园（高新枫桥）,3室 2厅,101.0平,253万,25049元/平,华山路8号,南北,简装,低区/22层,暂无数据
高新,鑫苑国际城市花园（高新枫桥）,2室 1厅,65.19平,150万,23009元/平,华山路8号,南,精装,中区/13层,暂无数据
高新,狮山新苑（高新狮山）,3室 2厅,117.79平,290万,24620元/平,金山路27号,南北,精装,高区/6层,暂无数据
高新,曙光苑（高新狮山）,2室 3厅,112.0平,200万,17857元/平,滨河路与邓尉路交界向东300米,暂无数据,精装,高区/6层,暂无数据
高新,狮山峰汇（高新狮山）,1室 1厅,85.0平,194万,22823元/平,狮山路75号,南,精装,低区/22层,暂无数据
高新,狮山新苑（高新狮山）,3室 2厅,125.44平,350万,27901元/平,金山路27号,暂无数据,中装,低区/6层,暂无数据
高新,新升新苑（高新狮山）,2室 2厅,73.4平,153万,20844元/平,玉山路与珠江路交界处,南北,精装,中区/5层,暂无数据
高新,嘉业阳光假日五期（高新狮山）,3室 2厅,102.34平,220万,21496元/平,珠江路121号（玉山路与珠江路交界处）,南北,精装,高区/11层,暂无数据
高新,嘉业阳光假日四期（高新狮山）,3室 2厅,124.5平,286万,22971元/平,珠江路121号,南,豪装,中区/6层,暂无数据
高新,嘉业阳光假日三期（高新狮山）,2室 2厅,99.32平,210万,21143元/平,珠江路121号,南,精装,低区/16层,暂无数据
高新,名馨花园（高新狮山）,3室 2厅,127.0平,332万,26141元/平,玉山路77号,南北,精装,中区/10层,暂无数据
高新,世纪花园（高新狮山）,3室 2厅,116.5平,255万,21888元/平,玉山路与汾湖路交汇处,暂无数据,精装,低区/6层,暂无数据
高新,世纪花园（高新狮山）,3室 2厅,116.5平,225万,19313元/平,玉山路与汾湖路交汇处,暂无数据,精装,高区/6层,暂无数据
高新,天都花园（高新狮山）,3室 2厅,124.0平,296万,23870元/平,竹园路25号,南北,精装,低区/33层,暂无数据
高新,嘉业阳光假日五期（高新狮山）,3室 2厅,123.0平,280万,22764元/平,珠江路121号（玉山路与珠江路交界处）,南北,毛坯,低区/6层,暂无数据
高新,理想家园（高新浒墅关经济技术开发区）,3室 2厅,118.21平,195万,16496元/平,长江路819号,南北,豪装,高区/6层,暂无数据
高新,金科天籁城（高新浒墅关经济技术开发区）,2室 2厅,81.61平,148万,18135元/平,太湖大道南、建林路绿化地东（距新鹿花苑500米）,暂无数据,精装,中区/18层,暂无数据
高新,荣尚花苑（高新通安）,5室 2厅,170.19平,215万,12632元/平,西唐路69号,南北,精装,中区/5层,暂无数据
高新,新港天之运（高新枫桥）,3室 2厅,99.54平,202万,20293元/平,浩福路66号,南北,毛坯,低区/11层,暂无数据
高新,新区港龙城市商业广场（高新枫桥）,1室 1厅,43.54平,72万,16536元/平,长江路556号,暂无数据,毛坯,中区/20层,暂无数据
高新,新港天之运（高新枫桥）,2室 2厅,80.53平,154万,19123元/平,浩福路66号,南北,毛坯,低区/26层,暂无数据
高新,华夏五金机电城（高新狮山）,1室 1厅,61.45平,61万,9926元/平,长江路88号,暂无数据,暂无数据,中区/14层,暂无数据
高新,旭辉御府（高新枫桥）,3室 2厅,106.61平,266万,24950元/平,景山路118号,南北,毛坯,高区/30层,暂无数据
高新,山水华庭（高新狮山）,2室 2厅,87.5平,179万,20457元/平,长江中路99号,南北,精装,高区/18层,暂无数据
高新,中梁香缇（高新狮山）,2室 1厅,43.02平,79万,18363元/平,竹园路滨河路交汇处,南,精装,中区/19层,暂无数据
高新,山水华庭（高新狮山）,2室 2厅,95.0平,175万,18421元/平,长江中路99号,南北,中装,中区/11层,暂无数据
高新,中梁香缇（高新狮山）,2室 1厅,48.62平,90万,18510元/平,竹园路滨河路交汇处,暂无数据,简装,低区/19层,暂无数据
高新,山水华庭（高新狮山）,4室 3厅,105.32平,258万,24496元/平,长江中路99号,南北,精装,高区/5层,暂无数据
高新,理想家园（高新浒墅关经济技术开发区）,3室 2厅,109.23平,180万,16478元/平,长江路819号,南北,精装,低区/18层,暂无数据
高新,枫秀苑（高新枫桥）,2室 2厅,64.96平,117万,18011元/平,马运路480号,南北,精装,中区/6层,暂无数据
高新,理想家园（高新浒墅关经济技术开发区）,1室 1厅,57.98平,90万,15522元/平,长江路819号,暂无数据,精装,中区/18层,暂无数据
高新,山水华庭（高新狮山）,2室 2厅,90.66平,205万,22611元/平,长江中路99号,南北,精装,中区/5层,暂无数据
高新,青成大厦（高新狮山）,1室 1厅,54.0平,67万,12407元/平,长江路465号,暂无数据,精装,高区/8层,暂无数据
高新,云锦苑二区（高新浒墅关经济技术开发区）,2室 2厅,89.7平,143万,15942元/平,鸿禧路20号,南,精装,中区/18层,暂无数据
高新,理想家园（高新浒墅关经济技术开发区）,1室 1厅,58.0平,84万,14482元/平,长江路819号,南北,毛坯,低区/18层,暂无数据
高新,云锦苑二区（高新浒墅关经济技术开发区）,2室 1厅,89.76平,145万,16154元/平,鸿禧路20号,南,中装,中区/18层,暂无数据
高新,沁怡家园（高新狮山）,2室 2厅,103.0平,312万,30291元/平,玉山路18号,南北,精装,低区/18层,暂无数据
高新,山水映象（高新横塘）,2室 2厅,89.29平,184万,20607元/平,科源路88号,南,中装,高区/6层,暂无数据
高新,枫秀苑（高新枫桥）,2室 2厅,88.57平,155万,17500元/平,马运路480号,南北,精装,高区/6层,暂无数据
高新,长江花园一区（高新浒墅关经济技术开发区）,4室 2厅,110.94平,150万,13520元/平,嵩山路与长江路交汇处,南北,精装,高区/5层,暂无数据
高新,山水映象（高新横塘）,3室 2厅,143.0平,286万,20000元/平,科源路88号,南北,精装,低区/8层,暂无数据
高新,山水映象（高新横塘）,3室 2厅,129.31平,266万,20570元/平,科源路88号,暂无数据,精装,高区/5层,暂无数据
高新,禧悦（高新狮山）,4室 2厅,220.0平,582万,26454元/平,滨河路999号,南北,毛坯,中区/37层,暂无数据
高新,禧悦（高新狮山）,4室 2厅,220.0平,568万,25818元/平,滨河路999号,南北,毛坯,高区/37层,暂无数据
高新,禧悦（高新狮山）,4室 2厅,220.0平,530万,24090元/平,滨河路999号,南北,毛坯,低区/37层,暂无数据
